,PARKING_SPACE_ID,POST_ID,STREET_NAME,shape
3581,145518,542-00180,LARKIN ST,POINT (-122.41643 37.778328)
3582,135237,500-05320,JACKSON ST,POINT (-122.4048 37.796288)
3583,155205,444-02090,GRANT AVE,POINT (-122.4053 37.788822)
3584,131709,681-07230,TAYLOR ST,POINT (-122.41209 37.789497)
3585,139122,568-05900,MISSION ST,POINT (-122.39963 37.788235)
3587,155282,400-03340,EDDY ST,POINT (-122.41372 37.78385)
3588,155617,562-04120,MASON ST,POINT (-122.40987 37.787506)
3589,134545,561-00131,MAIN ST,POINT (-122.39605 37.792843)
3590,131528,658-03590,SPEAR ST,POINT (-122.389534 37.78904)
3591,136341,500-02090,JACKSON ST,POINT (-122.39986 37.796833)
3592,139439,418-06630,FOLSOM ST,POINT (-122.39831 37.784138)
3593,139575,324-00270,BATTERY ST,POINT (-122.39978 37.792023)
3595,135802,830-05870,EMBARCADERO NORTH,POINT (-122.3989 37.80037)
3599,143733,210-01450,10TH ST,POINT (-122.41474 37.774464)
3600,137747,670-01380,STILLMAN ST,POINT (-122.39726 37.781075)
3601,137477,204-11100,04TH ST,POINT (-122.391624 37.77398)
3602,133375,201-03250,01ST ST,POINT (-122.393715 37.78682)
3603,134180,380-00050,DAVIS ST,POINT (-122.39753 37.792774)
3606,132996,818-01440,BRANNAN ST,POINT (-122.388954 37.784412)
3607,138187,340-00649,BLUXOME ST,POINT (-122.39751 37.776405)
3608,138776,568-05190,MISSION ST,POINT (-122.39804 37.789272)
3609,145240,612-14170,POLK ST,POINT (-122.42064 37.790024)
3610,137981,524-01340,KING ST,POINT (-122.390686 37.779198)
3611,159618,472-08200,HYDE ST,POINT (-122.41685 37.7887)
3612,144110,336-12210,BUSH ST,POINT (-122.41773 37.788948)
3614,145417,472-08030,HYDE ST,POINT (-122.41693 37.788357)
3615,163797,568-11390,MISSION ST,POINT (-122.411766 37.77843)
3616,145314,614-06380,POST ST,POINT (-122.412964 37.787773)
3618,137691,331-06150,BRYANT ST,POINT (-122.39839 37.779156)
3619,139163,651-00260,SANSOME ST,POINT (-122.400566 37.79076)
3620,145330,606-06010,PINE ST,POINT (-122.40587 37.79141)
3621,138112,339-01460,BERRY ST,POINT (-122.392365 37.776646)
3622,145048,209-00190,09TH ST,POINT (-122.415634 37.777092)
3623,134138,445-00920,GREEN ST,POINT (-122.401146 37.80055)
3624,154667,501-01145,JESSIE ST,POINT (-122.40077 37.78814)
3625,138406,684-03950,TOWNSEND ST,POINT (-122.39711 37.77524)
3626,131991,336-13320,BUSH ST,POINT (-122.41973 37.788826)
3627,140093,571-00210,MONTGOMERY ST,POINT (-122.402176 37.78968)
3628,138031,684-00870,TOWNSEND ST,POINT (-122.39016 37.780766)
3629,133042,561-02159,MAIN ST,POINT (-122.39314 37.79052)
3630,139186,201-00450,01ST ST,POINT (-122.39783 37.79008)
3631,137839,330-04670,BRANNAN ST,POINT (-122.3956 37.778923)
3632,137601,684-00810,TOWNSEND ST,POINT (-122.39008 37.78082)
3634,155333,502-03270,JONES ST,POINT (-122.4128 37.784645)
3635,145199,210-02210,10TH ST,POINT (-122.41368 37.77362)
3636,155167,562-03270,MASON ST,POINT (-122.40988 37.786907)
3638,154697,651-00020,SANSOME ST,POINT (-122.40054 37.790646)
3639,143913,423-01120,FULTON ST,POINT (-122.415436 37.779884)
3642,137303,339-04010,BERRY ST,POINT (-122.39779 37.77218)
3643,136366,359-05250,CLAY ST,POINT (-122.4021 37.7947)
3644,139893,470-05190,HOWARD ST,POINT (-122.39644 37.788074)
3645,154849,206-02350,06TH ST,POINT (-122.406235 37.779125)
3646,140074,582-00070,NEW MONTGOMERY ST,POINT (-122.401695 37.78851)
3647,136930,684-01320,TOWNSEND ST,POINT (-122.39144 37.779995)
3648,155575,202-00040,02ND ST,POINT (-122.40114 37.788982)
3649,145444,350-14480,CALIFORNIA ST,POINT (-122.41891 37.79088)
3650,154974,440-03310,GEARY ST,POINT (-122.40925 37.787167)
3651,139560,470-05270,HOWARD ST,POINT (-122.39665 37.787907)
3652,154499,418-07280,FOLSOM ST,POINT (-122.39978 37.78322)
3654,136040,720-05640,WASHINGTON ST,POINT (-122.40304 37.795612)
3655,144790,563-02340,MCALLISTER ST,POINT (-122.416664 37.780605)
3657,137856,331-05860,BRYANT ST,POINT (-122.397835 37.779858)
3659,159534,472-05030,HYDE ST,POINT (-122.41636 37.785545)
3661,137645,418-09180,FOLSOM ST,POINT (-122.403946 37.779934)
3662,138904,470-05780,HOWARD ST,POINT (-122.39781 37.787216)
3663,135051,571-07120,MONTGOMERY ST,POINT (-122.40333 37.79594)
3664,137428,684-04217,TOWNSEND ST,POINT (-122.39842 37.774197)
3666,159532,401-05140,ELLIS ST,POINT (-122.41504 37.784637)
3667,138823,651-02240,SANSOME ST,POINT (-122.400986 37.79277)
3668,163528,720-00050,WASHINGTON ST,POINT (-122.39582 37.796444)
3673,138391,340-01333,BLUXOME ST,POINT (-122.398415 37.775482)
3674,143486,568-10770,MISSION ST,POINT (-122.41041 37.779507)
3675,134115,600-07230,PACIFIC AVE,POINT (-122.40759 37.79676)
3677,145500,423-01150,FULTON ST,POINT (-122.41543 37.779606)
3678,138963,651-00007,SANSOME ST,POINT (-122.40072 37.79071)
3680,154810,471-10360,HARRISON ST,POINT (-122.40506 37.776608)
3681,137786,684-01410,TOWNSEND ST,POINT (-122.391304 37.779858)
3682,155390,568-10470,MISSION ST,POINT (-122.409706 37.780064)
3683,138644,373-02050,CHANNEL ST,POINT (-122.39175 37.774193)
3684,134634,568-02216,MISSION ST,POINT (-122.39526 37.79146)
3685,144536,208-02490,08TH ST,POINT (-122.41045 37.77542)
3686,137047,471-08290,HARRISON ST,POINT (-122.40051 37.77994)
3687,145458,612-12130,POLK ST,POINT (-122.42024 37.78804)
3688,144608,442-02043,GOLDEN GATE AVE,POINT (-122.41408 37.7819)
3689,155306,470-11810,HOWARD ST,POINT (-122.4111 37.77649)
3691,136117,324-06160,BATTERY ST,POINT (-122.400635 37.79696)
