,PARKING_SPACE_ID,POST_ID,STREET_NAME,shape
4,132860,658-01430,SPEAR ST,POINT (-122.39334 37.792076)
158,147657,104-02980,04TH AVE,POINT (-122.462204 37.78316)
161,147926,104-02960,04TH AVE,POINT (-122.46221 37.783176)
172,143048,521-00110,KIRKHAM ST,POINT (-122.460846 37.760464)
177,134179,359-01240,CLAY ST,POINT (-122.39776 37.79538)
178,154493,418-07110,FOLSOM ST,POINT (-122.39923 37.783413)
179,132888,418-00760,FOLSOM ST,POINT (-122.3908 37.790306)
180,133116,561-03490,MAIN ST,POINT (-122.390564 37.788452)
182,132543,864-04730,SPEAR ST,POINT (-122.388565 37.78826)
183,144527,442-02050,GOLDEN GATE AVE,POINT (-122.41413 37.781754)
184,137017,471-08350,HARRISON ST,POINT (-122.40066 37.779823)
185,137147,331-06200,BRYANT ST,POINT (-122.3987 37.77917)
186,163639,471-06410,HARRISON ST,POINT (-122.39626 37.783283)
187,137946,331-06050,BRYANT ST,POINT (-122.39817 37.77933)
188,155932,614-01300,POST ST,POINT (-122.4048 37.788795)
190,163881,614-06280,POST ST,POINT (-122.41266 37.78781)
191,134213,500-01010,JACKSON ST,POINT (-122.39845 37.797012)
192,140009,568-06590,MISSION ST,POINT (-122.40107 37.786877)
193,135527,571-08100,MONTGOMERY ST,POINT (-122.403496 37.79675)
194,140203,418-06450,FOLSOM ST,POINT (-122.39786 37.784492)
195,137741,524-01320,KING ST,POINT (-122.39063 37.77924)
198,137807,330-03800,BRANNAN ST,POINT (-122.39381 37.78058)
199,137970,330-04870,BRANNAN ST,POINT (-122.39604 37.778572)
201,155981,470-09820,HOWARD ST,POINT (-122.40676 37.780148)
202,133456,422-02120,FRONT ST,POINT (-122.39873 37.793545)
206,134409,616-12160,POWELL ST,POINT (-122.40989 37.79606)
207,159535,472-05110,HYDE ST,POINT (-122.416405 37.785767)
208,138137,330-05500,BRANNAN ST,POINT (-122.39787 37.77737)
209,135256,444-07070,GRANT AVE,POINT (-122.40622 37.793674)
210,144613,563-01360,MCALLISTER ST,POINT (-122.41499 37.78082)
211,136218,331-04830,BRYANT ST,POINT (-122.395386 37.78153)
212,133837,350-00110,CALIFORNIA ST,POINT (-122.39693 37.79351)
213,154504,203-01280,03RD ST,POINT (-122.40134 37.785576)
214,133760,720-01170,WASHINGTON ST,POINT (-122.39765 37.79622)
215,136230,819-00110,BROADWAY,POINT (-122.39819 37.798885)
216,134243,420-00220,FREMONT ST,POINT (-122.39767 37.791145)
217,155576,202-00060,02ND ST,POINT (-122.40111 37.78895)
218,155713,401-02110,ELLIS ST,POINT (-122.40994 37.785156)
219,133041,561-02150,MAIN ST,POINT (-122.393135 37.790512)
220,138919,470-06090,HOWARD ST,POINT (-122.39847 37.786476)
221,155546,501-01105,JESSIE ST,POINT (-122.40066 37.788227)
222,136369,444-06250,GRANT AVE,POINT (-122.40612 37.793194)
223,139076,651-00560,SANSOME ST,POINT (-122.400604 37.790913)
224,159509,546-05170,LEAVENWORTH ST,POINT (-122.4148 37.786175)
226,136009,571-07200,MONTGOMERY ST,POINT (-122.40337 37.796173)
227,133300,201-03510,01ST ST,POINT (-122.39306 37.78629)
228,137052,330-05260,BRANNAN ST,POINT (-122.397354 37.777782)
229,162766,612-15290,POLK ST,POINT (-122.42088 37.791203)
230,134574,201-03530,01ST ST,POINT (-122.393005 37.78625)
231,143496,442-01260,GOLDEN GATE AVE,POINT (-122.4131 37.782024)
232,133960,386-02125,DRUMM ST,POINT (-122.3967 37.795895)
234,138618,373-02600,CHANNEL ST,POINT (-122.39341 37.77305)
235,137771,471-08670,HARRISON ST,POINT (-122.40147 37.77919)
236,163716,206-01530,06TH ST,POINT (-122.4074 37.78006)
237,135993,720-05810,WASHINGTON ST,POINT (-122.40303 37.795486)
239,139681,463-01210,HAWTHORNE ST,POINT (-122.39708 37.78416)
241,136999,684-00800,TOWNSEND ST,POINT (-122.39031 37.780884)
242,137427,684-04317,TOWNSEND ST,POINT (-122.39845 37.774174)
243,132873,470-01220,HOWARD ST,POINT (-122.39328 37.7908)
244,139273,666-01060,SUTTER ST,POINT (-122.40248 37.790047)
245,135265,327-01370,BROADWAY,POINT (-122.40086 37.798515)
247,156106,470-11360,HOWARD ST,POINT (-122.41026 37.77738)
249,155761,614-02260,POST ST,POINT (-122.40618 37.78862)
250,139522,869-04160,TERRY A FRANCOIS BLVD,POINT (-122.38718 37.772625)
251,134392,444-11210,GRANT AVE,POINT (-122.407 37.797596)
252,136132,720-04510,WASHINGTON ST,POINT (-122.40146 37.795666)
253,138213,205-05110,05TH ST,POINT (-122.399895 37.777603)
254,133523,328-03210,BEALE ST,POINT (-122.39232 37.788486)
255,137247,418-09360,FOLSOM ST,POINT (-122.40436 37.779606)
256,159619,502-06080,JONES ST,POINT (-122.413124 37.786995)
258,140075,582-00130,NEW MONTGOMERY ST,POINT (-122.401505 37.788357)
259,145553,542-11190,LARKIN ST,POINT (-122.41864 37.78851)
260,131594,568-00290,MISSION ST,POINT (-122.3933 37.79302)
261,137618,471-08280,HARRISON ST,POINT (-122.400566 37.780155)
262,154909,614-04080,POST ST,POINT (-122.40878 37.7883)
263,155307,400-02030,EDDY ST,POINT (-122.41115 37.784054)
264,134859,616-12280,POWELL ST,POINT (-122.40994 37.796352)
265,133202,350-00060,CALIFORNIA ST,POINT (-122.39675 37.79369)
266,131685,612-14120,POLK ST,POINT (-122.42048 37.789978)
267,136760,324-05150,BATTERY ST,POINT (-122.4006 37.796043)
268,161483,418-01070,FOLSOM ST,POINT (-122.39112 37.789814)
269,131791,350-09280,CALIFORNIA ST,POINT (-122.410225 37.79199)
271,131695,666-06250,SUTTER ST,POINT (-122.41118 37.78883)
272,137398,205-06690,05TH ST,POINT (-122.39731 37.77554)
273,163844,502-08210,JONES ST,POINT (-122.413734 37.789234)
274,164509,691-00410,UNION ST,POINT (-122.401276 37.801357)
276,133678,500-00900,JACKSON ST,POINT (-122.397896 37.7972)
277,156073,206-00070,06TH ST,POINT (-122.40991 37.782055)
278,144903,210-02580,10TH ST,POINT (-122.41311 37.772926)
279,133657,561-00440,MAIN ST,POINT (-122.39543 37.792145)
281,134780,380-02230,DAVIS ST,POINT (-122.39799 37.794983)
283,136379,444-06150,GRANT AVE,POINT (-122.406075 37.792965)
284,135558,500-03200,JACKSON ST,POINT (-122.40107 37.79677)
285,136138,520-05200,KEARNY ST,POINT (-122.40447 37.793327)
287,163740,470-08350,HOWARD ST,POINT (-122.403496 37.782505)
289,155034,593-00034,OFARRELL ST,POINT (-122.40511 37.78673)
291,164544,203-04480,03RD ST,POINT (-122.39635 37.781612)
292,137190,670-01460,STILLMAN ST,POINT (-122.39753 37.780865)
293,136281,418-07630,FOLSOM ST,POINT (-122.40057 37.78235)
294,163744,501-03090,JESSIE ST,POINT (-122.40489 37.78478)
295,144493,401-03230,ELLIS ST,POINT (-122.41194 37.784904)
296,134814,445-01040,GREEN ST,POINT (-122.40171 37.800476)
298,132574,658-01340,SPEAR ST,POINT (-122.3932 37.79176)
299,134809,616-12040,POWELL ST,POINT (-122.40984 37.79583)
301,135516,664-09120,STOCKTON ST,POINT (-122.40789 37.794415)
303,136749,359-06210,CLAY ST,POINT (-122.403946 37.794518)
304,144184,650-16120,SACRAMENTO ST,POINT (-122.419655 37.7917)
306,134150,600-06230,PACIFIC AVE,POINT (-122.406296 37.79692)
307,133282,720-02120,WASHINGTON ST,POINT (-122.39872 37.796158)
308,139158,661-00540,STEVENSON ST,POINT (-122.39966 37.789757)
309,136829,571-06030,MONTGOMERY ST,POINT (-122.40322 37.7948)
310,134056,691-00430,UNION ST,POINT (-122.40135 37.80135)
311,137663,330-03670,BRANNAN ST,POINT (-122.39335 37.780697)
312,139244,203-01510,03RD ST,POINT (-122.40076 37.785362)
315,139926,204-12140,04TH ST,POINT (-122.39145 37.77229)
316,138353,684-05041,TOWNSEND ST,POINT (-122.399475 37.773373)
318,139811,606-01010,PINE ST,POINT (-122.39874 37.792324)
319,137227,684-01030,TOWNSEND ST,POINT (-122.390564 37.780445)
322,139368,582-01050,NEW MONTGOMERY ST,POINT (-122.40024 37.787304)
323,139009,324-00280,BATTERY ST,POINT (-122.39963 37.792057)
325,134095,691-00360,UNION ST,POINT (-122.401245 37.801483)
326,136903,644-03500,RITCH ST,POINT (-122.39359 37.778625)
327,136639,359-05080,CLAY ST,POINT (-122.402115 37.794853)
329,136966,670-01280,STILLMAN ST,POINT (-122.39692 37.781345)
330,154545,614-00060,POST ST,POINT (-122.40231 37.789112)
331,140041,520-02170,KEARNY ST,POINT (-122.404045 37.79047)
332,155029,444-00120,GRANT AVE,POINT (-122.40484 37.787132)
333,139519,205-06130,05TH ST,POINT (-122.39834 37.776363)
334,135924,359-09320,CLAY ST,POINT (-122.40906 37.79395)
335,163836,470-12430,HOWARD ST,POINT (-122.412476 37.775406)
336,163643,650-04030,SACRAMENTO ST,POINT (-122.40034 37.794056)
337,143748,209-01310,09TH ST,POINT (-122.4139 37.775707)
338,136103,566-04120,MERCHANT ST,POINT (-122.40095 37.795406)
339,134620,568-02336,MISSION ST,POINT (-122.395424 37.791332)
340,135126,327-02160,BROADWAY,POINT (-122.401665 37.798576)
341,134024,328-03070,BEALE ST,POINT (-122.39248 37.788616)
343,134741,422-03210,FRONT ST,POINT (-122.39919 37.795002)
346,144035,336-12130,BUSH ST,POINT (-122.41745 37.788982)
347,135309,720-05360,WASHINGTON ST,POINT (-122.40268 37.79566)
348,136201,359-07030,CLAY ST,POINT (-122.404976 37.794384)
349,132735,830-00330,EMBARCADERO NORTH,POINT (-122.394936 37.795776)
350,136819,359-05366,CLAY ST,POINT (-122.40282 37.794777)
351,135186,324-06370,BATTERY ST,POINT (-122.4009 37.7975)
354,138502,373-02170,CHANNEL ST,POINT (-122.39204 37.77396)
355,133600,471-04100,HARRISON ST,POINT (-122.39244 37.78657)
356,153545,208-02610,08TH ST,POINT (-122.41027 37.775276)
357,155399,207-01160,07TH ST,POINT (-122.4106 37.778824)
358,144190,666-08050,SUTTER ST,POINT (-122.41382 37.788494)
359,131576,831-04320,EMBARCADERO SOUTH,POINT (-122.38823 37.788635)
360,164535,324-09240,BATTERY ST,POINT (-122.40127 37.800133)
361,135460,720-05050,WASHINGTON ST,POINT (-122.40196 37.79562)
362,136065,551-00400,LAPU-LAPU ST,POINT (-122.39854 37.781883)
363,132036,336-05280,BUSH ST,POINT (-122.40642 37.790516)
364,155817,444-00030,GRANT AVE,POINT (-122.40495 37.787037)
365,156095,208-01110,08TH ST,POINT (-122.41269 37.777206)
367,144957,359-17550,CLAY ST,POINT (-122.42236 37.792156)
368,163837,442-03300,GOLDEN GATE AVE,POINT (-122.41644 37.781593)
369,133970,328-03170,BEALE ST,POINT (-122.39236 37.78852)
371,144969,442-03200,GOLDEN GATE AVE,POINT (-122.41616 37.781628)
372,138464,684-04022,TOWNSEND ST,POINT (-122.39778 37.775024)
373,156208,401-03140,ELLIS ST,POINT (-122.411736 37.785057)
374,164527,720-06260,WASHINGTON ST,POINT (-122.40446 37.795433)
375,135663,500-04180,JACKSON ST,POINT (-122.40254 37.79657)
377,155349,400-02070,EDDY ST,POINT (-122.411285 37.784035)
378,140056,470-06730,HOWARD ST,POINT (-122.399796 37.785423)
379,162729,470-06580,HOWARD ST,POINT (-122.3997 37.785732)
380,155128,666-04210,SUTTER ST,POINT (-122.40775 37.78926)
382,155590,614-01150,POST ST,POINT (-122.40424 37.78876)
383,164508,422-03060,FRONT ST,POINT (-122.39892 37.79452)
384,134483,359-01100,CLAY ST,POINT (-122.39724 37.795444)
386,133075,418-00500,FOLSOM ST,POINT (-122.39031 37.79069)
387,163807,209-01460,09TH ST,POINT (-122.41374 37.775337)
388,144028,606-14190,PINE ST,POINT (-122.41941 37.789684)
389,155203,470-08250,HOWARD ST,POINT (-122.40328 37.78267)
390,136957,202-07120,02ND ST,POINT (-122.39023 37.780262)
391,137332,340-00443,BLUXOME ST,POINT (-122.39698 37.77682)
392,136213,830-04170,EMBARCADERO NORTH,POINT (-122.397255 37.798508)
393,144780,606-05420,PINE ST,POINT (-122.40563 37.791565)
394,133133,821-05620,BEALE ST,POINT (-122.38883 37.785484)
395,134990,720-02040,WASHINGTON ST,POINT (-122.39843 37.796192)
396,155786,336-05040,BUSH ST,POINT (-122.40573 37.790604)
397,159541,614-11380,POST ST,POINT (-122.42118 37.786716)
398,135335,520-06080,KEARNY ST,POINT (-122.40459 37.7939)
399,139414,606-03150,PINE ST,POINT (-122.40154 37.79197)
400,143608,207-01500,07TH ST,POINT (-122.40986 37.77824)
401,135753,600-04140,PACIFIC AVE,POINT (-122.402664 37.79746)
402,135956,837-10730,FRONT ST,POINT (-122.400444 37.80122)
404,132872,561-02213,MAIN ST,POINT (-122.39293 37.79035)
405,136025,651-07050,SANSOME ST,POINT (-122.40195 37.796757)
407,132635,658-00210,SPEAR ST,POINT (-122.39509 37.79347)
408,143727,210-02080,10TH ST,POINT (-122.414154 37.773758)
409,138979,463-01430,HAWTHORNE ST,POINT (-122.39653 37.783722)
412,137334,339-03110,BERRY ST,POINT (-122.39584 37.773712)
413,156184,442-02041,GOLDEN GATE AVE,POINT (-122.41405 37.781902)
414,139363,606-03410,PINE ST,POINT (-122.40228 37.791874)
415,134254,363-02160,COLUMBUS AVE,POINT (-122.40584 37.797398)
416,139107,324-01120,BATTERY ST,POINT (-122.39975 37.792625)
417,135124,878-00760,VALLEJO ST,POINT (-122.39957 37.7998)
418,140176,582-01070,NEW MONTGOMERY ST,POINT (-122.40019 37.787266)
419,155277,686-02360,TURK ST,POINT (-122.413635 37.782906)
420,131831,606-14500,PINE ST,POINT (-122.42008 37.789734)
421,133318,568-02399,MISSION ST,POINT (-122.39553 37.79125)
422,155106,562-02060,MASON ST,POINT (-122.40946 37.785503)
423,133117,864-04500,SPEAR ST,POINT (-122.388725 37.788185)
424,134689,720-03380,WASHINGTON ST,POINT (-122.39962 37.79604)
425,143828,210-01490,10TH ST,POINT (-122.41469 37.77442)
427,135849,837-10170,FRONT ST,POINT (-122.40036 37.800785)
428,138634,552-06360,LONG BRIDGE ST,POINT (-122.39227 37.772934)
429,136775,720-03413,WASHINGTON ST,POINT (-122.40017 37.79586)
430,138708,422-00150,FRONT ST,POINT (-122.39861 37.792213)
431,134554,658-00710,SPEAR ST,POINT (-122.39443 37.792942)
432,135248,651-09070,SANSOME ST,POINT (-122.40235 37.798725)
433,154657,606-05150,PINE ST,POINT (-122.40482 37.791542)
434,155064,568-10250,MISSION ST,POINT (-122.40925 37.780422)
435,144518,681-00110,TAYLOR ST,POINT (-122.41072 37.78265)
437,145411,350-15510,CALIFORNIA ST,POINT (-122.42024 37.790543)
438,131811,681-07150,TAYLOR ST,POINT (-122.41204 37.78927)
439,135215,837-09110,FRONT ST,POINT (-122.40016 37.7998)
440,162651,340-00440,BLUXOME ST,POINT (-122.39691 37.77688)
441,134897,520-10130,KEARNY ST,POINT (-122.40545 37.797405)
443,137962,470-08326,HOWARD ST,POINT (-122.40388 37.782425)
444,134376,380-01220,DAVIS ST,POINT (-122.39765 37.794132)
445,137363,340-00846,BLUXOME ST,POINT (-122.39784 37.776146)
446,132772,818-01840,BRANNAN ST,POINT (-122.38965 37.78387)
447,139942,869-04190,TERRY A FRANCOIS BLVD,POINT (-122.38698 37.772614)
448,134697,568-02330,MISSION ST,POINT (-122.395454 37.791306)
449,134288,444-11190,GRANT AVE,POINT (-122.40698 37.797523)
450,138336,827-03130,CHINA BASIN ST,POINT (-122.387505 37.772034)
451,133434,324-11500,BATTERY ST,POINT (-122.401665 37.802097)
452,134270,691-00380,UNION ST,POINT (-122.40132 37.80147)
453,136016,571-07220,MONTGOMERY ST,POINT (-122.40339 37.796223)
454,162750,208-03170,08TH ST,POINT (-122.40944 37.77458)
455,139980,520-04010,KEARNY ST,POINT (-122.404335 37.79187)
456,144064,542-10120,LARKIN ST,POINT (-122.41827 37.787453)
458,154712,202-00350,02ND ST,POINT (-122.40102 37.789085)
461,133181,831-04550,EMBARCADERO SOUTH,POINT (-122.38765 37.788147)
462,134012,386-02142,DRUMM ST,POINT (-122.39671 37.795933)
464,139347,203-03560,03RD ST,POINT (-122.39793 37.782864)
465,134342,445-01260,GREEN ST,POINT (-122.40234 37.800396)
466,137725,684-01940,TOWNSEND ST,POINT (-122.392624 37.779057)
468,135171,444-08230,GRANT AVE,POINT (-122.40648 37.79498)
470,138218,205-06510,05TH ST,POINT (-122.39774 37.775887)
471,136058,566-04060,MERCHANT ST,POINT (-122.40072 37.795433)
472,155228,401-04090,ELLIS ST,POINT (-122.41323 37.78474)
473,143630,400-02050,EDDY ST,POINT (-122.41122 37.784042)
474,138126,205-06630,05TH ST,POINT (-122.39745 37.775658)
475,138602,576-05280,MISSION ROCK ST,POINT (-122.39084 37.77292)
476,132621,569-00080,MARKET ST,POINT (-122.3949 37.794544)
478,138277,684-03535,TOWNSEND ST,POINT (-122.39611 37.776016)
479,138059,418-09110,FOLSOM ST,POINT (-122.40365 37.779926)
480,145212,470-14190,HOWARD ST,POINT (-122.41478 37.77359)
481,137117,330-04420,BRANNAN ST,POINT (-122.395256 37.77943)
482,133161,470-01390,HOWARD ST,POINT (-122.393135 37.790688)
483,144816,472-00090,HYDE ST,POINT (-122.41507 37.77918)
484,138376,340-01754,BLUXOME ST,POINT (-122.399284 37.774807)
485,155446,330-08400,BRANNAN ST,POINT (-122.404274 37.772312)
487,132480,831-04540,EMBARCADERO SOUTH,POINT (-122.38808 37.788033)
488,145119,350-07370,CALIFORNIA ST,POINT (-122.40707 37.792217)
489,135306,324-06200,BATTERY ST,POINT (-122.40066 37.797077)
490,155872,330-07530,BRANNAN ST,POINT (-122.402336 37.773605)
492,139529,330-06340,BRANNAN ST,POINT (-122.39947 37.776085)
494,154528,336-04070,BUSH ST,POINT (-122.404274 37.790653)
495,156063,568-09760,MISSION ST,POINT (-122.40824 37.78142)
497,155912,562-03240,MASON ST,POINT (-122.40972 37.786804)
498,155719,501-03410,JESSIE ST,POINT (-122.40515 37.784576)
500,138098,330-05650,BRANNAN ST,POINT (-122.39792 37.777084)
501,140090,336-03290,BUSH ST,POINT (-122.40323 37.7908)
502,144997,209-00550,09TH ST,POINT (-122.41489 37.77649)
503,136646,651-05200,SANSOME ST,POINT (-122.401474 37.79517)
504,137075,204-03130,04TH ST,POINT (-122.40079 37.78185)
505,144785,568-12450,MISSION ST,POINT (-122.41412 37.776573)
506,154521,463-00260,HAWTHORNE ST,POINT (-122.39866 37.78528)
507,143865,563-03520,MCALLISTER ST,POINT (-122.41814 37.780422)
508,155967,570-03650,MINNA ST,POINT (-122.40542 37.782677)
509,137314,340-00831,BLUXOME ST,POINT (-122.39753 37.77618)
510,162727,571-00030,MONTGOMERY ST,POINT (-122.402084 37.78927)
511,155507,525-00309,KAPLAN LN,POINT (-122.398964 37.785015)
512,135836,500-06290,JACKSON ST,POINT (-122.406105 37.796043)
513,144669,330-08290,BRANNAN ST,POINT (-122.40388 37.77239)
515,132806,665-01810,STEUART ST,POINT (-122.392006 37.79241)
516,144679,681-02120,TAYLOR ST,POINT (-122.410934 37.78454)
517,137562,471-08630,HARRISON ST,POINT (-122.40137 37.77927)
518,138386,340-01338,BLUXOME ST,POINT (-122.39866 37.775295)
519,131702,336-08370,BUSH ST,POINT (-122.41159 37.78973)
520,144847,209-01350,09TH ST,POINT (-122.413795 37.775623)
521,135459,330-02950,BRANNAN ST,POINT (-122.39175 37.781963)
522,162671,330-06380,BRANNAN ST,POINT (-122.39954 37.77603)
523,138839,471-06490,HARRISON ST,POINT (-122.39649 37.783108)
524,132907,831-06460,EMBARCADERO SOUTH,POINT (-122.38838 37.78307)
525,136799,380-05200,DAVIS ST,POINT (-122.398384 37.7978)
526,154630,661-01360,STEVENSON ST,POINT (-122.401344 37.788425)
527,134667,386-00170,DRUMM ST,POINT (-122.39661 37.794197)
528,154743,470-09680,HOWARD ST,POINT (-122.40645 37.780396)
529,154698,471-06710,HARRISON ST,POINT (-122.39697 37.782726)
530,138940,470-06290,HOWARD ST,POINT (-122.39889 37.786144)
531,138073,339-02530,BERRY ST,POINT (-122.39474 37.77459)
532,144599,208-04070,08TH ST,POINT (-122.40826 37.773594)
533,144979,568-11550,MISSION ST,POINT (-122.41212 37.778156)
534,131781,502-07250,JONES ST,POINT (-122.41355 37.78832)
535,138351,684-05071,TOWNSEND ST,POINT (-122.399574 37.773293)
536,154861,206-02570,06TH ST,POINT (-122.40576 37.77875)
537,163540,830-01001,EMBARCADERO NORTH,POINT (-122.39469 37.796482)
538,145474,472-10150,HYDE ST,POINT (-122.41735 37.790443)
539,163578,471-07370,HARRISON ST,POINT (-122.39833 37.78166)
540,144498,206-01280,06TH ST,POINT (-122.4081 37.780373)
541,133982,830-01013,EMBARCADERO NORTH,POINT (-122.394646 37.796486)
542,131886,681-07200,TAYLOR ST,POINT (-122.41192 37.789345)
543,163561,720-05880,WASHINGTON ST,POINT (-122.40319 37.795593)
544,137658,202-07190,02ND ST,POINT (-122.3899 37.78023)
545,137416,330-05830,BRANNAN ST,POINT (-122.39827 37.77681)
546,132561,471-00080,HARRISON ST,POINT (-122.388954 37.789326)
547,140023,463-00050,HAWTHORNE ST,POINT (-122.399055 37.78572)
548,162708,372-05180,CHINA BASIN ST,POINT (-122.39041 37.772026)
549,131771,606-15090,PINE ST,POINT (-122.42081 37.789505)
550,133803,720-03360,WASHINGTON ST,POINT (-122.39959 37.796043)
551,143902,210-03130,10TH ST,POINT (-122.41234 37.77255)
552,145432,701-14050,VAN NESS AVE,POINT (-122.422134 37.788654)
553,161541,327-06360,BROADWAY,POINT (-122.408165 37.797756)
555,139792,582-01390,NEW MONTGOMERY ST,POINT (-122.39926 37.78652)
556,145020,209-00010,09TH ST,POINT (-122.41605 37.777428)
557,133808,561-00013,MAIN ST,POINT (-122.39619 37.792953)
558,136824,359-05349,CLAY ST,POINT (-122.40274 37.79479)
560,131817,666-06130,SUTTER ST,POINT (-122.410736 37.788883)
562,135668,571-08020,MONTGOMERY ST,POINT (-122.40346 37.796566)
564,155643,206-02150,06TH ST,POINT (-122.40666 37.779472)
565,144171,472-09190,HYDE ST,POINT (-122.4172 37.7897)
566,133931,561-01180,MAIN ST,POINT (-122.394615 37.791485)
567,132736,561-03020,MAIN ST,POINT (-122.391754 37.789204)
568,136198,471-07220,HARRISON ST,POINT (-122.39811 37.782085)
569,131581,818-01660,BRANNAN ST,POINT (-122.38936 37.784096)
571,156196,568-10750,MISSION ST,POINT (-122.410355 37.779552)
572,134730,350-01190,CALIFORNIA ST,POINT (-122.39827 37.793343)
573,163548,363-01450,COLUMBUS AVE,POINT (-122.40548 37.796932)
574,144699,446-00150,GROVE ST,POINT (-122.415634 37.778687)
576,135941,324-07040,BATTERY ST,POINT (-122.400795 37.79778)
577,145467,614-04200,POST ST,POINT (-122.409225 37.788242)
578,133687,650-01230,SACRAMENTO ST,POINT (-122.39748 37.794426)
579,143738,542-03060,LARKIN ST,POINT (-122.416916 37.780754)
581,137748,331-06620,BRYANT ST,POINT (-122.39955 37.778507)
582,134100,500-06360,JACKSON ST,POINT (-122.40623 37.79611)
583,154879,593-02220,OFARRELL ST,POINT (-122.40874 37.78638)
584,163782,568-09770,MISSION ST,POINT (-122.40815 37.78129)
585,136084,363-00130,COLUMBUS AVE,POINT (-122.40373 37.795727)
586,135805,500-04380,JACKSON ST,POINT (-122.40334 37.79647)
587,138190,330-05570,BRANNAN ST,POINT (-122.39775 37.777218)
588,136848,520-05070,KEARNY ST,POINT (-122.404564 37.792984)
590,155654,471-10280,HARRISON ST,POINT (-122.4049 37.776733)
591,145429,502-06250,JONES ST,POINT (-122.41336 37.787376)
595,134604,561-00253,MAIN ST,POINT (-122.39589 37.792713)
596,135680,500-06180,JACKSON ST,POINT (-122.405754 37.79617)
597,143783,701-17150,VAN NESS AVE,POINT (-122.42276 37.791744)
599,154723,661-01440,STEVENSON ST,POINT (-122.401375 37.7884)
600,131633,826-06330,DELANCEY ST,POINT (-122.3894 37.78338)
601,133480,561-03100,MAIN ST,POINT (-122.39158 37.789062)
602,139956,582-00090,NEW MONTGOMERY ST,POINT (-122.40162 37.788445)
603,131500,831-04190,EMBARCADERO SOUTH,POINT (-122.387924 37.7891)
604,137229,331-06850,BRYANT ST,POINT (-122.39983 37.778027)
605,138080,339-02690,BERRY ST,POINT (-122.395134 37.774273)
606,162531,422-08150,FRONT ST,POINT (-122.40003 37.799156)
607,138405,684-05034,TOWNSEND ST,POINT (-122.40053 37.77286)
608,144775,563-03340,MCALLISTER ST,POINT (-122.41758 37.780495)
609,139578,582-01470,NEW MONTGOMERY ST,POINT (-122.39908 37.78637)
610,138575,204-11310,04TH ST,POINT (-122.39129 37.7734)
612,140092,444-02510,GRANT AVE,POINT (-122.405396 37.789284)
614,131720,336-12090,BUSH ST,POINT (-122.41739 37.78899)
615,136035,720-05720,WASHINGTON ST,POINT (-122.40309 37.79561)
616,155631,681-04120,TAYLOR ST,POINT (-122.41131 37.78641)
617,139189,568-05920,MISSION ST,POINT (-122.39967 37.7882)
618,131757,666-08380,SUTTER ST,POINT (-122.41496 37.788475)
620,136677,720-03357,WASHINGTON ST,POINT (-122.40002 37.79588)
621,132777,818-01500,BRANNAN ST,POINT (-122.38904 37.784344)
622,144814,444-05290,GRANT AVE,POINT (-122.40594 37.792313)
623,155004,593-03260,OFARRELL ST,POINT (-122.410576 37.786148)
624,136079,500-01100,JACKSON ST,POINT (-122.39884 37.797077)
625,132012,417-00040,FRANK NORRIS ST,POINT (-122.419075 37.789356)
626,139187,202-04280,02ND ST,POINT (-122.39451 37.783672)
627,133648,658-00830,SPEAR ST,POINT (-122.39426 37.792805)
628,134783,520-10110,KEARNY ST,POINT (-122.40544 37.797348)
629,134299,830-08160,EMBARCADERO NORTH,POINT (-122.40068 37.802944)
630,163502,418-01110,FOLSOM ST,POINT (-122.39122 37.789738)
631,135484,470-04210,HOWARD ST,POINT (-122.39565 37.788692)
633,132997,818-01750,BRANNAN ST,POINT (-122.38924 37.783978)
635,145241,612-14400,POLK ST,POINT (-122.42056 37.79043)
636,138395,340-01098,BLUXOME ST,POINT (-122.398186 37.77566)
638,155426,208-05170,08TH ST,POINT (-122.40649 37.772255)
639,135575,359-07400,CLAY ST,POINT (-122.40613 37.79432)
640,139204,336-02320,BUSH ST,POINT (-122.40197 37.79107)
641,155503,525-00601,KAPLAN LN,POINT (-122.39909 37.784954)
642,140123,501-01440,JESSIE ST,POINT (-122.4016 37.787483)
643,145398,542-11090,LARKIN ST,POINT (-122.4186 37.7883)
644,153521,444-01270,GRANT AVE,POINT (-122.40526 37.78857)
645,133343,561-00120,MAIN ST,POINT (-122.396194 37.792755)
646,133506,471-05350,HARRISON ST,POINT (-122.39365 37.785362)
647,134224,363-02360,COLUMBUS AVE,POINT (-122.40631 37.797726)
648,155292,546-00740,LEAVENWORTH ST,POINT (-122.41372 37.781612)
649,139836,606-02230,PINE ST,POINT (-122.40069 37.79208)
650,155161,440-00170,GEARY ST,POINT (-122.404076 37.787827)
651,144623,207-02130,07TH ST,POINT (-122.40892 37.777737)
652,139221,568-06450,MISSION ST,POINT (-122.40067 37.787193)
653,134137,445-00910,GREEN ST,POINT (-122.40109 37.800434)
654,139895,471-06150,HARRISON ST,POINT (-122.39568 37.783745)
655,138222,330-07330,BRANNAN ST,POINT (-122.40182 37.77401)
657,164511,445-01360,GREEN ST,POINT (-122.40244 37.800385)
659,133846,720-00260,WASHINGTON ST,POINT (-122.39667 37.79651)
661,133236,471-05210,HARRISON ST,POINT (-122.39333 37.785606)
662,132586,864-04280,SPEAR ST,POINT (-122.38897 37.788372)
664,144014,681-06300,TAYLOR ST,POINT (-122.41178 37.788692)
