,hour,dow,month,latitude,longitude,label
0,0,4,8,37.777371994504854,-122.39976258647587,1
1,23,5,7,37.73606117177687,-122.42446626401406,1
2,17,6,8,37.73024920699272,-122.41233817573674,1
3,1,1,1,37.78610103879033,-122.41808809883915,1
4,8,1,1,37.719109027120155,-122.48310424113129,1
5,1,1,1,37.79983742162469,-122.43267527801468,1
6,12,1,1,37.72308024149852,-122.45233156215444,1
7,17,1,1,37.77362406413157,-122.46374921153799,1
8,9,2,1,37.807072513011974,-122.41726063240938,1
9,20,1,1,37.781960765024216,-122.420638250988,1
10,18,2,1,37.72694991292525,-122.47603947349434,1
11,14,2,1,37.78351564008561,-122.41588253952084,1
12,20,2,1,37.76917836824904,-122.43357220915092,1
13,17,2,1,37.78485253223303,-122.46563231297381,1
14,9,3,1,37.77177024896362,-122.42034436943888,1
15,16,2,1,37.758698271638025,-122.41796470626194,1
16,17,3,1,37.77154247818916,-122.5066853156044,1
17,0,2,1,37.71827938807971,-122.42583481798471,1
18,0,4,1,37.72434333609269,-122.4296521266366,1
19,0,4,1,37.72434333609269,-122.4296521266366,1
20,21,1,1,37.7814283707046,-122.43232898312252,1
21,11,3,1,37.76370838022416,-122.44650470706524,1
22,9,4,1,37.74239176061754,-122.40583815976385,1
23,15,4,1,37.77785653620885,-122.40643633691013,1
24,12,3,1,37.79384988223892,-122.43820890622531,1
25,4,4,1,37.774991791068786,-122.41006277137105,1
26,8,3,1,37.74595385526537,-122.4020267034428,1
27,0,5,1,37.73103714598506,-122.3907270848595,1
28,18,4,1,37.732861380136704,-122.40056551269636,1
29,21,3,1,37.76363513644928,-122.41622727216804,1
30,20,4,1,37.77159510239282,-122.42252634633257,1
31,21,4,1,37.783087441092704,-122.46120747577557,1
32,15,3,1,37.77615523394739,-122.487669443228,1
33,18,5,1,37.77435883162946,-122.44275486661958,1
34,2,6,1,37.781654260627704,-122.41550518013351,1
35,22,5,1,37.715014421041694,-122.4399055407665,1
36,22,5,1,37.731073601060075,-122.39519164529331,1
37,12,5,1,37.80074122473377,-122.4261091693197,1
38,16,4,1,37.72616854912102,-122.41938591328648,1
39,10,4,1,37.74480758367075,-122.4568479527302,1
40,10,6,1,37.77256906100615,-122.48419420207377,1
41,10,6,1,37.74237875090492,-122.38385037661995,1
42,19,5,1,37.71369334931079,-122.39826589625427,1
43,12,5,1,37.72547564939949,-122.39424349422063,1
44,14,6,1,37.757100931031474,-122.41781190050699,1
45,15,4,1,37.72391410367005,-122.3914919152981,1
46,20,5,1,37.77717811601768,-122.42810097799507,1
47,15,4,1,37.72391410367005,-122.3914919152981,1
48,23,6,1,37.788699045143865,-122.42030688368686,1
49,21,6,1,37.79280364243196,-122.41775911968622,1
50,12,6,1,37.72004058916149,-122.45309196064848,1
51,7,6,1,37.73231052295139,-122.40002161761588,1
52,18,5,1,37.75173808833796,-122.44435802647136,1
53,22,6,1,37.75660818344446,-122.46520218135956,1
54,14,4,1,37.752074816171096,-122.40041559127415,1
55,11,0,1,37.72858444399327,-122.40139458832864,1
56,23,6,1,37.787453843203366,-122.41499542426828,1
57,11,0,1,37.80220130787601,-122.41796623042116,1
58,20,6,1,37.79945571124219,-122.40184382598943,1
59,18,4,1,37.731478773469,-122.41075653777641,1
60,7,0,1,37.784006612420036,-122.40486479517745,1
61,17,0,1,37.72344678051801,-122.40007300242719,1
62,8,0,1,37.76159405123934,-122.391537616788,1
63,21,0,1,37.751178755364215,-122.39640760368721,1
64,13,0,1,37.78328785199654,-122.40895216005931,1
65,10,1,1,37.7268513232293,-122.39166981735308,1
66,18,0,1,37.75173808833796,-122.44435802647136,1
67,17,1,1,37.785892900131,-122.41973873477664,1
68,16,1,1,37.760357303993494,-122.43049703372698,1
69,19,1,1,37.79468426473596,-122.43163386550978,1
70,19,0,1,37.77281215912856,-122.41282422762144,1
71,18,1,1,37.746044070290935,-122.41501656648384,1
72,23,1,1,37.78389736652439,-122.44298910619568,1
73,6,2,1,37.74510910548583,-122.47148859980585,1
74,14,1,1,37.772962408918936,-122.47561362653481,1
75,20,1,1,37.774902830394026,-122.43101153953138,1
76,17,4,1,37.76637407295711,-122.45294703466854,1
77,8,2,1,37.724884264310326,-122.40902743302048,1
78,18,1,1,37.77781524516056,-122.42316555401516,1
79,11,2,1,37.76142713261589,-122.42607650292528,1
80,13,2,1,37.7382147327303,-122.39837846591094,1
81,8,2,1,37.77173210697335,-122.40908314824856,1
